tpr,new_tweets,threshold,fpr,fpr2
0.0009920634920634,1,3533.739728797425,1.2755427434373327e-06,7.367958810163067e-07
0.0109126984126984,11,913.2204554544222,1.4030970177810659e-05,8.104754691179374e-06
0.0208333333333333,22,642.3126335309646,2.8061940355621317e-05,1.620950938235875e-05
0.0307539682539682,34,463.6375267632411,4.336845327686931e-05,2.505105995455443e-05
0.0406746031746031,47,319.3778539107914,5.995050894155463e-05,3.462940640776642e-05
0.050595238095238,57,261.8047511787649,7.270593637592796e-05,4.1997365217929485e-05
0.060515873015873,68,220.9913721970096,8.673690655373862e-05,5.010211990910886e-05
0.0704365079365079,81,195.60887797794308,0.00010331896221842393,5.968046636232085e-05
0.0803571428571428,97,157.76121015148178,0.00012372764611342127,7.146920045858176e-05
0.0902777777777777,114,126.08462267664385,0.0001454118727518559,8.399473043585897e-05
0.1001984126984127,128,114.91598022184296,0.00016326947115997858,9.430987277008726e-05
0.1101190476190476,149,99.31178628400392,0.00019005586877216256,0.0001097825862714297
0.1200396825396825,164,90.3818928159452,0.00020918900992372255,0.00012083452448667431
0.1299603174603174,178,82.08798118734508,0.0002270466083318452,0.00013114966682090261
0.1398809523809523,197,70.16356545125636,0.0002512819204571545,0.00014514878856021244
0.1507936507936507,216,61.84780146447067,0.00027551723258246384,0.00015914791029952226
0.1607142857142857,241,54.36857680039037,0.00030740580116839716,0.00017756780732492992
0.1706349206349206,272,48.023909569922445,0.00034694762621495447,0.00020040847963643545
0.1805555555555555,300,41.873141561514856,0.00038266282303119976,0.00022103876430489203
0.1904761904761904,327,37.27337021039718,0.00041710247710400776,0.00024093225309233232
0.2003968253968254,354,34.49758353529179,0.00045154213117681576,0.0002608257418797726
0.2103174603174603,376,32.10956578521053,0.00047960407153243705,0.00027703525126213135
0.2202380952380952,413,29.10383773593751,0.0005267991530396184,0.0003042966988597347
0.2301587301587301,440,27.26674857348407,0.0005612388071124263,0.00032419018764717495
0.2400793650793651,493,23.38378755565621,0.000628842572514605,0.0003632403693410392
0.25,530,21.76810557585511,0.0006760376540217863,0.00039050181693864257
0.2599206349206349,589,19.614803085421624,0.0007512946758845889,0.0004339727739186047
0.2698412698412698,617,18.715704509161537,0.0007870098727008342,0.0004546030585870613
0.2797619047619047,656,17.503118276572664,0.0008367560396948902,0.00048333809794669723
0.2906746031746032,710,15.75957395134853,0.0009056353478405061,0.0005231250755215778
0.3005952380952381,776,14.116974236232336,0.0009898211689073702,0.0005717536036686541
0.310515873015873,830,13.104004547610508,0.001058700477052986,0.0006115405812435346
0.3204365079365079,868,12.499962631113736,0.0011071711013036047,0.0006395388247221543
0.3303571428571428,914,11.924377006525065,0.001165846067501722,0.0006734314352489044
0.3402777777777778,967,11.162073579916996,0.0012334498329039005,0.0007124816169427686
0.3501984126984127,1013,10.492987863082892,0.0012921247991020178,0.0007463742274695188
0.3601190476190476,1082,9.709458682853722,0.0013801372483991938,0.0007972131432596439
0.3700396825396825,1182,8.841857620201926,0.001507691522742927,0.0008708927313612746
0.3799603174603174,1318,7.95447265160399,0.0016811653358504044,0.0009710969711794924
0.3898809523809524,1381,7.553164524632679,0.0017615245286869564,0.0010175151116835197
0.3998015873015873,1476,6.895417771804837,0.0018827010893135029,0.0010875107203800688
0.4097222222222222,1590,6.348934235182757,0.0020281129620653587,0.0011715054508159278
0.4196428571428571,1669,5.972958366751632,0.002128880838796908,0.0012297123254162159
0.4305555555555556,1743,5.658337935222293,0.0022232710018112705,0.0012842352206114227
0.4404761904761904,1898,5.125327551050057,0.0024209801270440572,0.0013984385821689503
0.4503968253968254,1956,4.94650983750502,0.0024949616061634224,0.0014411727432678961
0.4603174603174603,2041,4.73908030227792,0.002603382739355596,0.0015038003931542821
0.4702380952380952,2157,4.426219447170888,0.0027513456975943266,0.0015892687153521738
0.4801587301587302,2384,3.9638262404902136,0.003040893900354601,0.0017565213803428753
0.490079365079365,2502,3.752840702273832,0.003191407944080206,0.0018434632943027996
0.5,2593,3.59870356795998,0.0033074823337330035,0.0019105117194752835
0.5099206349206349,2707,3.428223279567193,0.0034528942064848593,0.0019945064499111423
0.5198412698412699,2908,3.1785787340504648,0.003709278297915763,0.00214260242199542
0.5297619047619048,3081,2.955250022079203,0.003929947192530422,0.002270068109411241
0.5396825396825397,3152,2.8954501822960066,0.004020510727314472,0.002322380616963399
0.5496031746031746,3248,2.7815895186317805,0.004142962830684456,0.0023931130215409644
0.5595238095238095,3468,2.583086678098461,0.004423582234240669,0.002555208115364552
0.5694444444444444,3687,2.4125368969101038,0.004702926095053446,0.002716566413307123
0.5803571428571429,4128,2.125304741103856,0.005265440444909309,0.0030414933968353143
0.5902777777777778,4249,2.051449708767312,0.005419781116865226,0.0031306456984382873
0.6001984126984127,4484,1.9245385016106695,0.005719533661572999,0.0033037927304771196
0.6101190476190477,4686,1.8317436498146948,0.00597719329574734,0.0034526254984424136
0.6200396825396826,4966,1.722560123794516,0.006334345263909793,0.0036589283451269796
0.6299603174603174,5321,1.58351180677159,0.0067871629378300465,0.0039204908828877685
0.6398809523809523,5882,1.4051718048191333,0.0075027424168983906,0.0043338333721379164
0.6498015873015873,6161,1.327281088505106,0.007858618842317406,0.004539399422941466
0.6597222222222222,6467,1.2602164579934505,0.008248934921809229,0.004764858962532456
0.6696428571428571,6780,1.1855272483643158,0.008648179800505114,0.00499547607329056
0.6795634920634921,7289,1.0890041480074235,0.009297431056914718,0.00537050517672786
0.689484126984127,7661,1.0212425782882102,0.009771932957473405,0.0056445932444659265
0.6994047619047619,8206,0.9414799820328928,0.01046710375264675,0.006046146999619814
0.7093253968253969,8603,0.888609564785895,0.010973494221791372,0.006338654964383287
0.7202380952380952,9007,0.8391207342688993,0.011488813490140054,0.006636320500313875
0.7301587301587301,9788,0.750920049260784,0.012485012372764611,0.007211758083387611
0.7400793650793651,10314,0.7019883742889699,0.013155947855812648,0.007599312716802188
0.75,10726,0.6646019719884612,0.01368147146610883,0.007902872619780907
0.7599206349206349,11316,0.6182192984983755,0.014434041684736856,0.008337582189580528
0.7698412698412699,11931,0.5754220771104159,0.015218500471950815,0.008790711656405556
0.7797619047619048,12508,0.5409698646849892,0.015954488634914155,0.009215842879751966
0.7896825396825397,13194,0.5055156298192968,0.016829510956912166,0.009721284854129151
0.7996031746031746,14505,0.4477972728644806,0.01850174749355851,0.01068722425414153
0.8095238095238095,15401,0.4148045252952486,0.01964463379167836,0.011347393363532141
0.8194444444444444,16677,0.3732660056369872,0.021272226332304394,0.012287544907708947
0.8293650793650794,17811,0.3390347868176622,0.02271869180336233,0.01312307143678144
0.8392857142857143,19304,0.304132160348205,0.024623077119314267,0.014223107687138786
0.8492063492063492,20166,0.2869145938607858,0.02572259496415725,0.014858225736574842
0.8601190476190477,22479,0.2465673793342506,0.0286729253297278,0.01656243460936556
0.8700396825396826,24972,0.2125022735791463,0.03185285338911707,0.018399266740739214
0.8799603174603174,28663,0.1745575677179806,0.03656088165514426,0.021118780337570402
0.8898809523809523,35102,0.1308102522001188,0.04477410138013725,0.0258630090154344
0.8998015873015873,44279,0.0931967814168663,0.05647975713666165,0.032624584815521045
0.9097222222222222,53428,0.0704476225450466,0.0681496976963698,0.03936553033093924
0.9196428571428572,67477,0.0496322351327484,0.0860697976989209,0.049716775663337334
0.929563492063492,90944,0.0310654466601885,0.11600295925916478,0.067007164603147
0.939484126984127,115968,0.0206347700888285,0.14792214087094058,0.08544474472969907
0.949404761904762,156999,0.0119895694113137,0.20025893517691779,0.11567621652367914
0.9593253968253967,225314,0.0059620822317802,0.28739763769483917,0.16601042713530814
0.9692460317460316,341935,0.0022855871148248,0.4361527079772443,0.25193629957531083
0.9791666666666666,474954,0.0008589343284472,0.6058241281665349,0.349944150872219
0.9890873015873016,606979,0.0003409942258809,0.7742276588688487,0.44721962706339685
1.0,783980,9.05288957657348e-05,1.0,0.5776332347991642
